trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2145,False,"{'a': 0.4, 'e': 0.019662251316591457}",30,24,9.987257143113434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2146,False,"{'a': 0.4, 'e': 0.019626251635542182}",20,13,13.321801337483592,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2147,False,"{'a': 0.4, 'e': 0.01959031786642816}",20,5,25.82606459513712,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2148,False,"{'a': 0.4, 'e': 0.019554449888570993}",20,3,30.122211098681102,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2149,False,"{'a': 0.4, 'e': 0.019518647581513282}",20,4,30.23621541027522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2150,False,"{'a': 0.4, 'e': 0.019482910825018122}",20,8,-18.374899996477527,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2151,False,"{'a': 0.4, 'e': 0.019447239499068777}",25,13,24.682633359562725,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2152,False,"{'a': 0.4, 'e': 0.019411633483868228}",20,2,10.667154397225556,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
2153,False,"{'a': 0.4, 'e': 0.019376092659838837}",25,7,33.521674078381025,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2154,False,"{'a': 0.4, 'e': 0.01934061690762186}",20,7,23.44241566098102,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2155,False,"{'a': 0.4, 'e': 0.0193052061080771}",20,9,25.29368682098164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2156,False,"{'a': 0.4, 'e': 0.019269860142282477}",20,12,3.0596913223882223,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2157,False,"{'a': 0.4, 'e': 0.019234578891533693}",20,13,8.759677962282673,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2158,False,"{'a': 0.4, 'e': 0.019199362237343746}",25,14,5.658505924802438,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2159,False,"{'a': 0.4, 'e': 0.019164210061442578}",20,9,19.71992558088146,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2160,False,"{'a': 0.4, 'e': 0.01912912224577666}",20,14,12.320443860100923,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
